disc_loss,gen_loss,valid
0.0445413,0.39086482,0.77
0.03244567,-0.23559567,0.6
0.05721363,-0.28447971,0.88
0.03399734,-0.25219652,0.78
0.02459512,-0.01473859,0.81
0.04896666,0.1525919,0.86
0.09321249,0.17878191,0.94
0.0377176,0.0891796,0.83
0.03525116,0.12714534,0.74
0.03231404,0.0974006,0.72
0.04358881,-0.14360033,0.81
0.03874376,0.23305219,0.79
0.0525379,-0.06146012,0.89
0.04197459,-0.12031605,0.81
0.0377451,0.23071519,0.64
0.02954975,-0.24043982,0.82
0.06643455,0.38016659,0.87
0.04004057,-0.0811678,0.77
0.03879917,0.05373611,0.8
0.02794091,0.14716041,0.8
0.02867822,-0.07952171,0.56
0.08753615,0.71098471,0.79
0.06315487,-0.37045521,0.8
0.05683513,0.30079666,0.88
0.06534296,0.026581,0.83
0.06748718,0.29726791,0.83
0.03697688,-0.36901554,0.82
0.04688423,0.16785711,0.88
0.06118659,0.44420728,0.87
0.05812748,-0.53895897,0.81
0.07757492,0.39412302,0.84
0.0351941,-0.17858873,0.74
0.09345335,0.13661925,0.9
0.02702232,-0.24901778,0.84
0.0437631,-0.38064066,0.87
0.0192676,0.00405068,0.87
0.06354757,0.14871077,0.84
0.05975053,0.65492618,0.88
0.01005415,-0.2215485,0.83
0.03914815,-0.04693731,0.77
0.13465169,0.62360436,0.73
0.03719515,-0.30604061,0.8
0.07996234,0.05682188,0.86
0.04911145,-0.45585406,0.76
0.16644314,0.51924002,0.88
0.04517431,0.11925329,0.77
0.01650077,-0.2671124,0.84
0.03820093,0.16854605,0.8
0.02103614,-0.16684939,0.84
0.02558987,-0.16101986,0.91
0.01942323,0.06485908,0.89
0.08894338,0.35238758,0.92
0.05371049,0.21575661,0.91
0.06381606,-0.15489356,0.89
0.04019438,-0.16307817,0.83
0.02950429,-0.14092055,0.86
0.04443438,0.18850861,0.83
